Book Name,Author,Rating,Customers_Rated,Price
All American Christmas,Rachel Campos-Duffy,4.5 out of 5 stars,42,$18.77
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health…",Robert F. Kennedy Jr.,4.9 out of 5 stars,173,$17.59
The 1619 Project: A New Origin Story,Nikole Hannah-Jones,4.4 out of 5 stars,63,$24.99
Big Shot Diary of a Wimpy Kid Book 16,Jeff Kinney,4.8 out of 5 stars,"1,695",$9.00
Welcome to Dunder Mifflin: The Ultimate Oral History of The Office,Brian Baumgartner,5.0 out of 5 stars,6,$20.45
Betrayal: The Final Act of the Trump Show,Jonathan Karl,4.3 out of 5 stars,44,$19.70
Will,Will Smith,4.8 out of 5 stars,436,$18.05
"The Blue Zones Challenge: A 4-Week Plan for a Longer, Better Life",Dan Buettner,-1,0,$13.99
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,-1,0,$22.82
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"55,828",$11.98
Get Untamed: The Journal (How to Quit Pleasing and Start Living),Glennon Doyle,4.3 out of 5 stars,10,$12.98
The Lincoln Highway: A Novel,Amor Towles,4.5 out of 5 stars,"7,571",$18.99
Atria Books It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"39,510",$9.47
Make Your Bed with Skipper the Seal,Admiral William H. McRaven,5.0 out of 5 stars,5,$15.49
"Penguin Books The Body Keeps The Score: Brain, Mind, And Body In The Healing Of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"38,498",$11.40
Humans,Brandon Stanton,4.9 out of 5 stars,"15,618",$21.00
If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"57,434",$4.44
The Judge's List: A Novel (The Whistler),John Grisham,4.5 out of 5 stars,"13,196",$9.99
The Christmas Pig,J. K. Rowling,4.6 out of 5 stars,555,$14.99
The Stranger in the Lifeboat: A Novel,Mitch Albom,4.7 out of 5 stars,"1,309",$15.07
How to Catch a Turkey,Adam Wallace,4.8 out of 5 stars,"2,243",$7.58
Demon Slayer Complete Box Set: Includes volumes 1-23 with premium (Demon Slayer: Kimetsu no Yaiba),Koyoharu Gotouge,4.6 out of 5 stars,103,$294.99
The Storyteller: Tales of Life and Music,Dave Grohl,4.8 out of 5 stars,"2,794",$18.72
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8 out of 5 stars,"26,179",$6.99
I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"43,692",$4.28
"Dune (Dune Chronicles, Book 1)",Frank Herbert,4.7 out of 5 stars,"39,694",$12.01
The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"42,110",$5.06
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,America's Test Kitchen Kids,4.8 out of 5 stars,"15,854",$7.49
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"68,134",$5.77
Guinness World Records 2022,Guinness World Records Limited,4.8 out of 5 stars,381,$14.97
Little Blue Truck's Christmas,Alice Schertle,4.9 out of 5 stars,"11,989",$10.71
How to Draw 101 Animals (1),Dan Green,4.7 out of 5 stars,"17,900",$3.29
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"63,347",$4.53
The 1619 Project: Born on the Water,Nikole Hannah-Jones,4.7 out of 5 stars,17,$13.86
Cat Kid Comic Club: Perspectives: A Graphic Novel (Cat Kid Comic Club #2): From the Creator of Dog Man,Dav Pilkey,4.9 out of 5 stars,"13,712",$10.78
Washington Square Press The Seven Husbands of Evelyn Hugo Novel,Taylor Jenkins Reid,4.6 out of 5 stars,"35,967",$2.99
The Blue Zones Kitchen: 100 Recipes to Live to 100,Dan Buettner,4.5 out of 5 stars,"9,206",$19.14
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8 out of 5 stars,"86,426",$13.80
The Dawn of Everything: A New History of Humanity,David Graeber,4.4 out of 5 stars,71,$22.33
Wacky Waving Inflatable Tube Guy (RP Minis),Conor Riordan,4.0 out of 5 stars,"33,244",$6.79
How to Catch a Dinosaur,Adam Wallace,4.8 out of 5 stars,"7,148",$6.97
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.9 out of 5 stars,"57,791",$45.76
The Lyrics: 1956 to the Present,Paul McCartney,4.8 out of 5 stars,203,$99.99
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"33,312",$17.85
"The Pioneer Woman Cooks―Super Easy!: 120 Shortcut Recipes for Dinners, Desserts, and More",Ree Drummond,4.8 out of 5 stars,"1,059",$18.75
Little Red Sleigh: A Heartwarming Christmas Book For Children,Erin Guendelsberger,4.8 out of 5 stars,879,$11.54
A Plague Upon Our House: My Fight at the Trump White House to Stop COVID from Destroying America,Scott W. Atlas M.D.,-1,0,$23.49
"The Complete Baking Book for Young Chefs: 100+ Sweet and Savory Recipes that You'll Love to Bake, Share and Eat!",America's Test Kitchen Kids,4.8 out of 5 stars,"6,542",$7.87
How to Catch a Mermaid,Adam Wallace,4.8 out of 5 stars,"23,424",$5.99
"World of Eric Carle, Hear Bear Roar 30-Button Animal Sound Book - Great for First Words - PI Kids",Editors of Phoenix International,4.8 out of 5 stars,"8,978",$13.49
How to Catch an Elf,Adam Wallace,4.8 out of 5 stars,"4,428",$7.35
"The President and the Freedom Fighter: Abraham Lincoln, Frederick Douglass, and Their Battle to Save America's Soul",Brian Kilmeade,4.9 out of 5 stars,227,$17.54
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6 out of 5 stars,"22,804",$5.99
The Screaming Goat (Book & Figure),0,4.7 out of 5 stars,"21,649",$8.16
"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals",Tieghan Gerard,-1,0,$19.50
The Last Thing He Told Me: A Novel,Laura Dave,4.3 out of 5 stars,"52,036",$9.94
Polar Express 30th anniversary edition,Chris Van Allsburg,4.9 out of 5 stars,"14,138",$11.78
Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),Dav Pilkey,4.9 out of 5 stars,"15,472",$4.42
The Big Book of Silly Jokes for Kids,Carole P. Roman,4.7 out of 5 stars,"15,317",$8.99
Super Extra Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 875 Characters,Scholastic,4.9 out of 5 stars,"1,399",$12.49
How to Catch a Unicorn,Adam Wallace,4.8 out of 5 stars,"26,702",$5.49
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.9 out of 5 stars,"26,742",$18.80
Cain's Jawbone,Edward Powys Mathers,4.6 out of 5 stars,110,$20.89
Dwyane,Dwyane Wade,3.6 out of 5 stars,5,$22.52
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"35,375",$5.36
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7 out of 5 stars,"23,356",$11.94
"Aaron Slater, Illustrator (The Questioneers)",Andrea Beaty,4.7 out of 5 stars,107,$12.36
The Wish,Nicholas Sparks,4.8 out of 5 stars,"9,010",$15.99
"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre…",School Zone,4.8 out of 5 stars,"56,006",$3.99
How to Draw Cool Stuff: A Drawing Guide for Teachers and Students,Catherine V Holmes,4.7 out of 5 stars,"13,489",$13.99
"World of Eric Carle, Around the Farm Animal 30-Button Sound Book - Great for First Words - PI Kids",Editors of Publications International,4.8 out of 5 stars,"13,281",$12.13
Flash Cards: Sight Words,Scholastic Teacher Resources,4.8 out of 5 stars,"11,903",$2.88
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,-1,0,$19.80
The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"32,434",$14.99
Book of Questions: Revised and Updated,Gregory Stock,4.6 out of 5 stars,"1,112",$9.95
Wreck This Journal: Now in Color,Keri Smith,4.7 out of 5 stars,"16,817",$9.59
The Midnight Library: A Novel,Matt Haig,4.3 out of 5 stars,"117,648",$13.29
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,Joshua Weissman,4.9 out of 5 stars,"3,167",$17.93
Beautiful Boards: 50 Amazing Snack Boards for Any Occasion,Maegan Brown,4.8 out of 5 stars,"5,321",$15.67
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul…",Snoop Dogg,4.8 out of 5 stars,"20,369",$12.74
Where's Spot?,Eric Hill,4.8 out of 5 stars,"22,859",$4.97
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,4.8 out of 5 stars,"16,115",$6.73
Penguin Random House The Wonderful Things You Will Be,Emily Winfield Martin,4.9 out of 5 stars,"18,261",$8.55
"Pandemia: How Coronavirus Hysteria Took Over Our Government, Rights, and Lives",Alex Berenson,-1,0,$26.99
Grumpy Monkey,Suzanne Lang,4.8 out of 5 stars,"18,542",$6.97
Cloud Cuckoo Land: A Novel,Anthony Doerr,4.5 out of 5 stars,"3,012",$18.57
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates…",Mary Pope Osborne,4.8 out of 5 stars,"15,932",$11.95
"Life Skills for Teens: How to Cook, Clean, Manage Money, Fix Your Car, Perform First Aid, and Just About Everything in…",Karen Harris,4.8 out of 5 stars,65,$12.98
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"57,438",$11.50
"Construction Site on Christmas Night: (Christmas Book for Kids, Children's Book, Holiday Picture Book) (Goodnight…",Sherri Duskey Rinker,4.9 out of 5 stars,"5,256",$8.49
Fizban's Treasury of Dragons (Dungeon & Dragons Book) (Dungeons & Dragons),Wizards RPG Team,4.7 out of 5 stars,606,$29.97
God Bless This Mess: Learning to Live and Love Through Life's Best (and Worst) Moments,Hannah Brown,-1,0,$19.59
How the Grinch Stole Christmas! (Classic Seuss),Dr. Seuss,4.9 out of 5 stars,"13,022",$9.90
The Christmas Promise,Richard Paul Evans,-1,0,$12.73
Turkey Trouble,Wendi Silvano,4.8 out of 5 stars,"4,330",$8.49
The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,4.8 out of 5 stars,"1,700",$16.69
"Interesting Stories For Curious People: A Collection of Fascinating Stories About History, Science, Pop Culture and Just…",Bill O'Neill,4.5 out of 5 stars,"10,757",$8.19
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7 out of 5 stars,"24,751",$9.99
Woke Up This Morning: The Definitive Oral History of The Sopranos,Michael Imperioli,4.4 out of 5 stars,161,$21.99
The Far Side® 2022 Off-The-Wall Calendar,Gary Larson,4.7 out of 5 stars,92,$14.39
